資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20260731,1233,5,35,620793,0.68
20260731,1233,6,45,1161594,1.28
20260731,1233,7,22,766715,0.84
20260731,1233,8,21,952257,1.05
20260731,1233,9,44,3184851,3.51
20260731,1233,10,33,4640371,5.12
20260731,1233,11,19,5711910,6.3
20260731,1233,12,8,3755559,4.14
20260731,1233,13,3,2008828,2.21
20260731,1233,14,1,975538,1.07
20260731,1233,15,15,61613629,68.01
20260731,1233,16,10268,90591948,100.0
20260731,1234,1,15217,910207,0.22
20260731,1234,2,7052,13895244,3.45
20260731,1234,3,981,7799140,1.94
20260731,1234,4,266,3411474,0.84
20260731,1234,5,157,2897863,0.72
20260731,1234,6,144,3664243,0.91
20260731,1234,7,75,2659366,0.66
20260731,1234,8,48,2202172,0.54
20260731,1234,9,98,6774337,1.68
20260731,1234,10,67,9652055,2.4
20260731,1234,11,47,13892872,3.45
20260731,1234,12,29,14537014,3.61
20260731,1234,13,20,13894053,3.45
20260731,1234,14,8,7268492,1.8
20260731,1234,15,80,298412562,74.25
20260731,1234,16,24289,401871094,100.0
20260731,1235,1,2145,261798,0.13
20260731,1235,2,596,1188463,0.63
20260731,1235,3,94,667804,0.35
20260731,1235,4,24,299474,0.15
20260731,1235,5,15,259915,0.13
20260731,1235,6,18,440513,0.23
20260731,1235,7,4,138061,0.07
20260731,1235,8,3,127091,0.06
20260731,1235,9,13,939023,0.49
20260731,1235,10,9,1173887,0.62
20260731,1235,11,5,1424796,0.75
20260731,1235,12,2,1094356,0.58
20260731,1235,13,1,689253,0.36
20260731,1235,14,0,0,0.0
20260731,1235,15,12,179873402,95.38
20260731,1235,16,2941,188577836,100.0
20260731,1236,1,9668,1533524,1.76
20260731,1236,2,1812,3420993,3.94
20260731,1236,3,180,1294903,1.49
20260731,1236,4,52,663866,0.76
20260731,1236,5,22,402483,0.46
20260731,1236,6,27,672563,0.77
20260731,1236,7,13,454649,0.52
20260731,1236,8,12,546722,0.63
20260731,1236,9,24,1683499,1.94
20260731,1236,10,14,1987818,2.29
20260731,1236,11,8,2029342,2.34
20260731,1236,12,1,467000,0.53
20260731,1236,13,0,0,0.0
20260731,1236,14,4,3803177,4.38
20260731,1236,15,18,67713469,78.12
20260731,1236,16,11855,86674008,100.0
20260731,1256,1,3811,771795,2.15
20260731,1256,2,1998,3790362,10.59
20260731,1256,3,227,1620224,4.52
20260731,1256,4,68,813755,2.27
20260731,1256,5,29,512186,1.43
20260731,1256,6,31,751488,2.1
20260731,1256,7,10,347736,0.97
20260731,1256,8,6,258159,0.72
20260731,1256,9,14,984896,2.75
20260731,1256,10,10,1261990,3.52
20260731,1256,11,11,3229013,9.02
20260731,1256,12,3,1430525,3.99
20260731,1256,13,2,1279493,3.57
20260731,1256,14,2,1871710,5.23
20260731,1256,15,3,16858046,47.11
20260731,1256,16,6225,35781378,100.0
20260731,1301,1,84483,19144990,0.3
20260731,1301,2,158286,343232288,5.39
20260731,1301,3,30319,233249330,3.66
20260731,1301,4,10693,134353633,2.11
20260731,1301,5,6178,112785091,1.77
20260731,1301,6,5545,139694326,2.19
20260731,1301,7,2425,86082651,1.35
20260731,1301,8,1628,74984157,1.17
20260731,1301,9,2704,192184878,3.01
20260731,1301,10,1096,151179336,2.37
20260731,1301,11,480,134341090,2.11
20260731,1301,12,143,70884009,1.11
20260731,1301,13,78,54693101,0.85
20260731,1301,14,52,46505150,0.73
20260731,1301,15,299,4572426751,71.82
20260731,1301,16,304409,6365740781,100.0
20260731,1303,1,107838,21081159,0.26
20260731,1303,2,123133,241319083,3.04
20260731,1303,3,17726,130840668,1.64
20260731,1303,4,6348,77693936,0.97
20260731,1303,5,3241,57943633,0.73
20260731,1303,6,3246,80116432,1.01
20260731,1303,7,1518,52956231,0.66
20260731,1303,8,1003,45200616,0.56
20260731,1303,9,1863,130267228,1.64
20260731,1303,10,843,116249918,1.46
20260731,1303,11,458,130230013,1.64
20260731,1303,12,156,76115618,0.95
20260731,1303,13,86,60762263,0.76
20260731,1303,14,68,61089829,0.77
20260731,1303,15,369,6648954962,83.83
20260731,1303,16,267896,7930821589,100.0
20260731,1304,1,41846,5886039,0.49
20260731,1304,2,41594,92317712,7.76
20260731,1304,3,8533,67213810,5.65
20260731,1304,4,2815,35635907,2.99
20260731,1304,5,1846,33993445,2.85
20260731,1304,6,1578,40256236,3.38
20260731,1304,7,752,26756017,2.25
20260731,1304,8,528,24518629,2.06
20260731,1304,9,849,61301403,5.15
20260731,1304,10,351,48809891,4.1
20260731,1304,11,122,34361659,2.89
20260731,1304,12,32,15374014,1.29
20260731,1304,13,20,13531287,1.13
20260731,1304,14,12,11047284,0.92
20260731,1304,15,47,677760167,57.01
20260731,1304,16,100925,1188763500,100.0
20260731,1305,1,37641,3622656,0.62
20260731,1305,2,24557,54108526,9.31
20260731,1305,3,5298,40649541,6.99
20260731,1305,4,1772,22101950,3.8
20260731,1305,5,1083,19899885,3.42
20260731,1305,6,1023,26089135,4.48
20260731,1305,7,459,16264776,2.79
20260731,1305,8,328,15132352,2.6
20260731,1305,9,503,36175722,6.22
20260731,1305,10,193,25810127,4.44
20260731,1305,11,88,24381917,4.19
20260731,1305,12,27,13415901,2.3
20260731,1305,13,7,4771681,0.82
